To Be,Is she a doctor?,¿Es una doctora?,0,0,0
To Be,Are they married?,¿Están ellos casados?,0,0,0
To Be,Am I late?,¿Llegué tarde?,0,0,0
To Be,Is it raining?,¿Esta lloviendo?,0,0,0
To Be,Is he happy?,¿Es feliz?,0,0,0
To Be,Are you hungry?,¿Tienes hambre?,0,0,0
To Be,Is the train on time?,¿El tren llega a tiempo?,0,0,0
To Be,Are they friends?,¿Son amigos?,0,0,0
To Be,Is the book on the table?,¿Está el libro sobre la mesa?,0,0,0
To Be,Are you ready?,¿Estás listo?,0,0,0
What ,What is he wearing?,¿Qué está usando?,0,0,0
What ,What are they doing?,¿Qué están haciendo?,0,0,0
What ,What is the weather like?,¿Que tiempo hace?,0,0,0
What ,What is the time?,¿Qué hora es?,0,0,0
What ,What is your name?,¿Cómo te llamas?,0,0,0
What ,What is the capital of France?,Cual es la capital de Francia?,0,0,0
What ,What is the purpose of life?,¿Cuál es el propósito de la vida?,0,0,0
What ,What is the fastest car in the world?,¿Cuál es el coche más rápido del mundo?,0,0,0
What ,What is the answer to the question?,¿Cuál es la respuesta a la pregunta?,0,0,0
What ,What is the meaning of love?,¿Cual es el significado del amor?,0,0,0
Where,Where is he from?,¿De dónde es él?,0,0,0
Where,Where are they going?,¿A donde van ellos?,0,0,0
Where,Where is the museum located?,¿Dónde está ubicado el museo?,0,0,0
Where,Where is the library located?,¿Dónde está ubicada la biblioteca?,0,0,0
Where,Where are you working?,¿Donde estás trabajando?,0,0,0
Where,Where are you studying?,¿Donde estás estudiando?,0,0,0
Where,Where is the park located?,¿Dónde está ubicado el parque?,0,0,0
Where,Where is the airport located?,¿Dónde está ubicado el aeropuerto?,0,0,0
Where,Where is the best restaurant in town?,¿Dónde está el mejor restaurante de la ciudad?,0,0,0
Where,Where is the train station located?,¿Dónde se encuentra la estación de tren?,0,0,0
Who,Who is the president of the United States?,¿Quién es el presidente de los Estados Unidos?,0,0,0
Who,Who is your best friend?,¿Quién es tu mejor amigo?,0,0,0
Who,Who is the author of that book?,¿Quién es el autor de ese libro?,0,0,0
Who,Who is the winner of the competition?,¿Quién es el ganador de la competencia?,0,0,0
Who,Who is the lead singer of that band?,¿Quién es el cantante principal de esa banda?,0,0,0
Who,Who is the director of that movie?,¿Quién es el director de esa película?,0,0,0
Who,Who is the manager of that team?,¿Quién es el director técnico de ese equipo?,0,0,0
Who,Who is the founder of that company?,¿Quién es el fundador de esa empresa?,0,0,0
Who,Who is the inventor of that product?,¿Quién es el inventor de ese producto?,0,0,0
Who,Who is the captain of that ship?,¿Quién es el capitán de ese barco?,0,0,0
When,When is your birthday?,¿Cuando es tu cumpleaños?,0,0,0
When,When is the train arriving?,¿Cuándo llega el tren?,0,0,0
When,When is the store open?,¿Cuándo está abierta la tienda?,0,0,0
When,When is the flight departing?,¿Cuándo sale el vuelo?,0,0,0
When,When is the park opening?,¿Cuándo abre el parque?,0,0,0
When,When is the concert starting?,¿Cuándo empieza el concierto?,0,0,0
